name,score,user score,critics,users,platform,rating
L.A. Noire: The Complete Edition,83,80.0,28,1180,PC,74.58
Frostpunk,84,84.0,67,677,PC,74.56
Deus Ex: Human Revolution,89,83.0,50,751,PlayStation3,74.52
DOOM Eternal,88,77.0,61,2567,PC,74.52
Diablo III: Ultimate Evil Edition,90,79.0,63,1411,PlayStation4,74.5
Alice: Madness Returns,75,84.0,29,665,PC,74.48
Forza Horizon 3,91,80.0,91,1130,XboxOne,74.42
Left 4 Dead,89,79.0,67,1360,Xbox360,74.39
Mario Kart 7,85,82.0,73,819,3DS,74.36
Grand Theft Auto IV,98,76.0,64,3806,PlayStation3,74.36
Game Dev Tycoon,68,80.0,21,1104,PC,74.34
Dark Souls: Prepare to Die Edition,85,77.0,42,2335,PC,74.33
Far Cry 3: Blood Dragon,81,81.0,31,931,PC,74.31
Hyrule Warriors,76,83.0,81,716,WiiU,74.31
Mark of the Ninja,91,80.0,14,1077,PC,74.25
World of Warcraft: Wrath of the Lich King,91,79.0,47,1294,PC,74.23
Far Cry 4,85,77.0,83,2197,PlayStation4,74.2
Killzone 3,84,80.0,85,1059,PlayStation3,74.19
SMITE,83,81.0,18,900,PC,74.18
Borderlands,84,82.0,83,784,Xbox360,74.17
Hellblade: Senua's Sacrifice,81,79.0,68,1240,PlayStation4,74.1
Dishonored 2,88,79.0,62,1215,PlayStation4,74.03
Forza Motorsport 4,91,83.0,83,673,Xbox360,74.03
